,Game,Average
0,0,-82.94010420552792
1,1,-106.73441478764383
2,2,-110.82368759051089
3,3,-164.03659944549958
4,4,-148.20703977019153
5,5,-143.37947323775026
6,6,-134.10515719242196
7,7,-142.98646254439703
8,8,-134.32304465365803
9,9,-161.60291801740286
10,10,-152.6410848987672
11,11,-145.20773793616084
12,12,-149.2744252424345
13,13,-159.15596492865689
14,14,-171.3015598945892
15,15,-167.60897568059232
16,16,-164.7150564303259
17,17,-157.59344485734005
18,18,-161.22543350102853
19,19,-163.91711783985073
20,20,-165.2173544415377
21,21,-159.5805736746327
22,22,-161.44620943598702
23,23,-160.2361575116953
24,24,-155.83137738258762
25,25,-156.63860489020536
26,26,-157.57827548299989
27,27,-157.2890776260894
28,28,-160.7194413017234
29,29,-161.54199395589293
30,30,-159.76763197922114
31,31,-165.31813541281633
32,32,-162.9178727401589
33,33,-162.96689990224894
34,34,-162.55789404293338
35,35,-153.8081327787631
36,36,-154.45338518158175
37,37,-152.79786932975685
38,38,-150.09714698991033
39,39,-148.36297718188175
40,40,-148.44531731890459
41,41,-145.46148055293028
42,42,-145.39127885509183
43,43,-146.05539031251772
44,44,-145.10892588423994
45,45,-145.12033694443537
46,46,-144.18643361157447
47,47,-141.51988813561883
48,48,-140.25980147864195
49,49,-138.84827006318878
50,50,-138.09441101306945
51,51,-137.44625550125718
52,52,-136.2282412591535
53,53,-135.5993819634745
54,54,-134.57460086100323
55,55,-133.58832794825938
56,56,-132.53123612833156
57,57,-131.30087705471888
58,58,-131.4919828191353
59,59,-130.3850088073087
60,60,-129.04093001560497
61,61,-127.7738941689835
62,62,-126.61364364985032
63,63,-124.68379511651503
64,64,-123.72083107537169
65,65,-122.01808936146979
66,66,-120.98994758895698
67,67,-120.20806965609388
68,68,-119.52830958138456
69,69,-118.56148566929438
70,70,-117.86926739855558
71,71,-116.5604532531604
72,72,-115.54821629178345
73,73,-114.84221277541666
74,74,-113.76160805087207
75,75,-112.38603899387437
76,76,-111.27216224774841
77,77,-110.41900622094731
78,78,-109.88671587198951
79,79,-108.65610413197408
80,80,-107.95787258223774
81,81,-107.28493035938014
82,82,-106.18329473666944
83,83,-105.67100653903977
84,84,-105.05903015513033
85,85,-103.82928174614166
86,86,-103.07324364715764
87,87,-102.50625153425868
88,88,-102.94145930974769
89,89,-102.32330567738423
90,90,-101.55765841240857
91,91,-100.57363888832177
92,92,-99.89460714516176
93,93,-99.20454314692125
94,94,-98.62817351470656
95,95,-97.91377995579678
96,96,-97.56148610773843
97,97,-97.22781900521329
98,98,-96.99227420700527
99,99,-96.38208349553337
100,100,-95.98551519501605
101,101,-94.91380525327584
102,102,-94.33431117885618
103,103,-91.39737317052465
104,104,-91.61956484857059
105,105,-91.10611488189369
106,106,-90.59141151804295
107,107,-90.53123127342236
108,108,-90.21632113275506
109,109,-86.77523979693233
110,110,-86.25242149449825
111,111,-86.19633522292638
112,112,-84.32733391959864
113,113,-82.16485396740939
114,114,-79.2132454636082
115,115,-78.44598274355413
116,116,-77.53044119852632
117,117,-77.26909377957348
118,118,-76.1865838724014
119,119,-74.80468839629131
120,120,-73.14789484517408
121,121,-73.42055099546398
122,122,-72.26702634894578
123,123,-71.58229746800674
124,124,-72.61214226172683
125,125,-71.71177129977606
126,126,-70.56560838948444
127,127,-69.1891806484354
128,128,-66.86061237741065
129,129,-66.44395110454722
130,130,-66.04858086835115
131,131,-63.32397569796515
132,132,-63.22357036024028
133,133,-59.66639219169549
134,134,-58.757480402953455
135,135,-58.75294020456847
136,136,-57.84674033132978
137,137,-58.0138056154451
138,138,-55.7323127497651
139,139,-55.53140671600752
140,140,-54.885129730325474
141,141,-53.10445038347065
142,142,-52.89923671061636
143,143,-51.34552828205909
144,144,-50.83848322367051
145,145,-47.301203520972265
146,146,-46.4280586753707
147,147,-46.976479821812546
148,148,-47.95344708798937
149,149,-47.42914861007943
150,150,-49.430488063221084
151,151,-49.06312697764961
152,152,-48.316837097394064
153,153,-45.13767608233408
154,154,-42.23505876299221
155,155,-39.67522833561684
156,156,-37.36470416158202
157,157,-36.7849271108011
158,158,-35.76848068009783
159,159,-35.759542933799146
160,160,-33.403839256924805
161,161,-31.096601525892588
162,162,-31.237152339352043
163,163,-32.06691297980376
164,164,-29.44244822100455
165,165,-26.863895476509743
166,166,-24.173883309601393
167,167,-21.748750020214437
168,168,-18.99647850827704
169,169,-16.339561327828715
170,170,-15.118044377851657
171,171,-14.15360513237255
172,172,-13.142275555231016
173,173,-10.536668155850977
174,174,-10.624326269268419
175,175,-10.96047881653161
176,176,-11.526595528410033
177,177,-8.779482775091791
178,178,-6.0803198824866715
179,179,-6.215878640472528
180,180,-4.023454341274961
181,181,-1.8788439481055104
182,182,-0.19903594801677285
183,183,3.039027436518495
184,184,3.3991821750704982
185,185,2.78549304857483
186,186,5.498872901039949
187,187,6.077615550948911
188,188,10.188802574958059
189,189,13.106149088877885
190,190,15.242628292716159
191,191,13.767342857269718
192,192,15.94382572571609
193,193,15.244843541886128
194,194,17.563503802035616
195,195,19.968747818923177
196,196,22.280694449323743
197,197,21.6403806068423
198,198,21.400485224677
199,199,19.981007712928008
200,200,20.29170487596752
201,201,22.524464924006352
202,202,22.923965841837642
203,203,24.916722789115433
204,204,24.284339271613852
205,205,26.985763597534955
206,206,29.576842135165165
207,207,33.692311847995164
208,208,36.35151684562237
209,209,35.50981972033506
210,210,37.679526467562994
211,211,40.400187190914046
212,212,42.46281836466332
213,213,43.16849539615887
214,214,45.64697335824576
215,215,45.21767472068521
216,216,47.357978863788254
217,217,47.17003157317271
218,218,50.030122742314774
219,219,50.176756914242745
220,220,52.967955384258566
221,221,56.103468232700834
222,222,59.70846562543611
223,223,60.26352956661894
224,224,61.8896244213143
225,225,65.01480079000889
226,226,67.84055383459136
227,227,70.50593064059112
228,228,73.07349180257344
229,229,74.91779545373677
230,230,77.41181425338655
231,231,79.94077214617799
232,232,83.06747190279695
233,233,79.97208916396784
234,234,82.4880204632238
235,235,78.26487998151055
236,236,76.4497189043951
237,237,76.89904903454205
238,238,77.41847621828688
239,239,80.98494014095856
240,240,83.67736623005014
241,241,84.6147852311123
242,242,87.55694963107571
243,243,90.14566344601822
244,244,92.65766091135829
245,245,92.61016328100389
246,246,95.19821020660416
247,247,98.24676688297933
248,248,102.32790431027756
249,249,104.96749379553758
250,250,110.55803146330425
251,251,110.88883590149024
252,252,113.68188337673793
253,253,113.60365404133587
254,254,113.68354797077538
255,255,105.94228853520039
256,256,106.69299137430616
257,257,109.15302848244626
258,258,112.04790602573274
259,259,115.34597634039834
260,260,115.65496806555775
261,261,116.12924846715954
262,262,118.78999928022445
263,263,114.38013346536778
264,264,114.28933395787128
265,265,113.9575681644965
266,266,114.64842729306778
267,267,115.4880835961669
268,268,116.35417524321537
269,269,116.48966368117082
270,270,118.53724792530154
271,271,120.33059877740257
272,272,122.28235525125712
273,273,122.2628511709013
274,274,125.2146992839606
275,275,127.4766939924537
276,276,131.09817025513553
277,277,131.74110004206273
278,278,132.19022583440986
279,279,134.75678044298473
280,280,135.0402870856239
281,281,135.76553973814762
282,282,136.59467258544697
283,283,136.78371337298316
284,284,139.50721477396422
285,285,142.71367258760947
286,286,142.21966320772015
287,287,144.87863749026002
288,288,144.07079903958098
289,289,143.95222748156556
290,290,144.4194065335911
291,291,148.55840109643887
292,292,149.27700580868307
293,293,148.42351560477783
294,294,148.75838539605272
295,295,149.3452237555563
296,296,150.55193260724326
297,297,151.1215923291429
298,298,154.15236349688473
299,299,158.2420242719342
300,300,155.75353212825254
301,301,156.7058561045329
302,302,159.15922321351627
303,303,160.0098546131121
304,304,163.16418659054716
305,305,163.37229136216953
306,306,163.2162417902264
307,307,161.19861366244385
308,308,161.6105272048154
309,309,165.49319992648208
310,310,161.77835383392247
311,311,158.91539159563519
312,312,159.2855820596491
313,313,161.4657186895611
314,314,162.00724888350058
315,315,165.36804138672363
316,316,164.8630088934651
317,317,161.7241721210986
318,318,157.88985471886218
319,319,161.08614135965666
320,320,160.58002138570774
321,321,160.69770522421285
322,322,155.71204920815165
323,323,158.33044990951453
324,324,160.47883032838078
325,325,159.94701740182848
326,326,155.456080943506
327,327,155.08308631656115
328,328,155.33017985863341
329,329,157.19286038154212
330,330,153.12644661568436
331,331,153.64924733729447
332,332,153.63170300918298
333,333,157.17861476416806
334,334,157.83421977444996
335,335,163.22447786037168
336,336,168.12914604162037
337,337,171.23867937103105
338,338,171.65081478249536
339,339,170.6920371464465
340,340,170.58262593441398
341,341,168.33357252302733
342,342,169.1933319257934
343,343,169.07515070123864
344,344,169.66791029804722
345,345,170.21256922371356
346,346,170.0687914206653
347,347,169.98051773728722
348,348,170.17134831926944
349,349,170.53554488445417
350,350,170.52621485593096
351,351,173.20414569327895
352,352,171.64601073290905
353,353,171.81281892144648
354,354,171.86004895886626
355,355,180.69424716588065
356,356,180.24471061553854
357,357,179.94721698311022
358,358,179.59916502488792
359,359,179.70264198841585
360,360,179.54667270341577
361,361,180.00706746970093
362,362,180.8330716584295
363,363,185.69061387713631
364,364,186.04240679132008
365,365,186.35656213383336
366,366,181.8212906000703
367,367,182.0359114475646
368,368,181.23654582747494
369,369,179.1517024605654
370,370,179.11170825063647
371,371,177.5901886865089
372,372,177.4353547072187
373,373,177.43219718409784
374,374,174.1414639619394
375,375,174.85114161976912
376,376,174.7234774448007
377,377,174.20382158715677
378,378,174.51470710235535
379,379,174.0468707106269
380,380,172.12274347116158
381,381,172.2146121564592
382,382,172.29021436284472
383,383,171.84671040624787
384,384,171.5715905838242
385,385,168.51097090714651
386,386,168.94760697028872
387,387,168.82444141274183
388,388,169.7329334429106
389,389,169.2889605137087
390,390,169.350079776492
391,391,169.58401605899977
392,392,169.693958024896
393,393,171.51280527698734
394,394,171.7372907855723
395,395,169.03668676695463
396,396,168.8827614154955
397,397,168.88516514036417
398,398,167.21707133459796
399,399,166.4499048176088
400,400,171.35615719494416
401,401,170.99814968254086
402,402,168.40035489860165
403,403,165.36366856846783
404,404,166.59417136516262
405,405,165.53057411763578
406,406,165.5892147642437
407,407,167.99130116195047
408,408,167.4919555934292
409,409,167.7534492324412
410,410,167.81649488928005
411,411,166.9669022552206
412,412,163.87561486071067
413,413,164.2254986487596
414,414,164.32334034841224
415,415,158.8063075550537
416,416,159.83304791709057
417,417,165.10461447602103
418,418,169.68409542907494
419,419,169.76715268773188
420,420,170.05933630071118
421,421,169.69622625487696
422,422,174.07853807340064
423,423,171.26227575647593
424,424,165.96237888324143
425,425,161.89250891615836
426,426,166.3287805213797
427,427,166.6199150157037
428,428,166.15861784481757
429,429,163.88109400632845
430,430,168.47613129916436
431,431,168.4476094063309
432,432,168.34149539048522
433,433,165.81297600861816
434,434,163.06475126709702
435,435,163.0669874485008
436,436,160.4922947362916
437,437,160.49192343089604
438,438,160.56192654244268
439,439,158.33218356526365
440,440,159.11020790712698
441,441,161.6986226775067
442,442,158.80864953972684
443,443,158.52743081624556
444,444,157.43915661458678
445,445,157.24708809820677
446,446,154.1932423472371
447,447,153.9033296305387
448,448,150.8571596854032
449,449,150.27132283624545
450,450,147.67391696523046
451,451,148.06598808700414
452,452,146.86907337795725
453,453,146.74588356050543
454,454,147.00618092134445
455,455,146.20524946790684
456,456,146.39330947426825
457,457,143.80317805782866
458,458,141.46356153632027
459,459,138.16038436958078
460,460,134.27715194821943
461,461,130.67974156678687
462,462,126.19361830259977
463,463,129.37383402939784
464,464,129.30834975120376
465,465,129.6579566665203
466,466,127.76818226884103
467,467,126.96598705141119
468,468,127.22529113042928
469,469,124.45141055329708
470,470,124.54779827490512
471,471,125.84953980793287
472,472,125.97398105573393
473,473,126.75950032433559
474,474,125.15969795496162
475,475,124.91925820994447
476,476,124.3309223458404
477,477,121.48233047483933
478,478,121.20435690060232
479,479,116.46332471249657
480,480,112.69060866667671
481,481,109.44747829087768
482,482,104.13276168065903
483,483,98.65450465474032
484,484,95.67380991093309
485,485,93.14342423371981
486,486,93.6912860283771
487,487,87.83919365834382
488,488,83.81360489728898
489,489,77.32681601763535
490,490,71.96892027416311
491,491,71.94425924035663
492,492,65.86078325668365
493,493,63.41668564590067
494,494,57.977941928989864
495,495,55.41103421754753
496,496,51.696459871206535
497,497,49.5541769814761
498,498,47.5369648231958
499,499,45.172512481141005
500,500,45.082977799944466
501,501,41.9383896982541
502,502,42.072577977699694
503,503,42.22880641352239
504,504,36.042955623674835
505,505,35.112720593829415
506,506,32.62044831705185
507,507,28.58302513327616
508,508,28.67302126291359
509,509,28.719902029438934
510,510,32.73160675710167
511,511,34.558439192124006
512,512,34.10696862393527
513,513,34.0199098357213
514,514,29.52269123896854
515,515,35.06235868944557
516,516,30.40218554607116
517,517,31.275727583260704
518,518,31.564268009093997
519,519,31.54238739133712
520,520,31.886695727456175
521,521,31.971707493694016
522,522,32.192299526721484
523,523,34.5892620909355
524,524,40.02158177139258
525,525,44.779051466109294
526,526,45.24713915482347
527,527,45.426129239551294
528,528,45.61107748527963
529,529,44.64979676882362
530,530,41.486827638355074
531,531,41.673162008215456
532,532,41.828873265820484
533,533,44.18366562665341
534,534,46.95750076061595
535,535,46.586039731422055
536,536,48.95087158623736
537,537,44.63261556404952
538,538,44.3728207899136
539,539,42.72765219835115
540,540,42.53272871186451
541,541,42.38308449517723
542,542,45.03474646446522
543,543,45.55325871240459
544,544,46.73648571057753
545,545,46.59826699182729
546,546,48.77190217709511
547,547,46.89668299005089
548,548,50.08486111691799
549,549,50.58243798697217
550,550,51.85809668241194
551,551,51.61028262315349
552,552,54.42184657078299
553,553,54.97048001660287
554,554,54.677473649878145
555,555,54.5549854941776
556,556,55.22920499867771
557,557,57.74835319925096
558,558,58.02393748354156
559,559,60.98491813181315
560,560,65.21931508799216
561,561,68.82168288906072
562,562,72.67817263266082
563,563,69.7106447653245
564,564,70.4016905784895
565,565,70.00657926917037
566,566,76.34333552732295
567,567,76.86175691214444
568,568,77.27428780272022
569,569,82.62889255266604
570,570,82.53578886192814
571,571,82.37644983045962
572,572,82.6468247400904
573,573,82.3484972347107
574,574,87.22427912941113
575,575,87.16438108377861
576,576,87.93326464286986
577,577,91.04228913001026
578,578,90.8916990560706
579,579,95.79024542474683
580,580,102.1283612275172
581,581,105.7532379039184
582,582,111.44526824533928
583,583,116.67276671139888
584,584,119.79190073865686
585,585,125.46223972799595
586,586,124.77177497030289
587,587,130.91505922332198
588,588,134.95559441658054
589,589,141.8774823932169
590,590,147.535006887578
591,591,147.30803247971346
592,592,153.33127194297148
593,593,158.49768182394754
594,594,164.2288608049067
595,595,169.3909074468326
596,596,170.62208582396752
597,597,175.8744407798211
598,598,180.0963956693199
599,599,183.84441604390875
600,600,184.34687044459915
601,601,187.5921289471594
602,602,190.38447961044375
603,603,193.41622530577197
604,604,199.2718526161776
605,605,201.90324248480658
606,606,204.78911144792343
607,607,208.60410931146006
608,608,208.73287616034997
609,609,208.49566303435776
610,610,209.0726121273326
611,611,210.36063900361572
612,612,214.01220884315993
613,613,214.58009795835733
614,614,218.7819495832647
615,615,217.06162096840828
616,616,222.26757800847773
617,617,222.4020143632718
618,618,222.3602721953816
619,619,222.30363272093902
620,620,222.06635218125083
621,621,222.53726666252672
622,622,222.83566208209703
623,623,223.16443080100285
624,624,223.45683443794798
625,625,223.09508067546426
626,626,222.26061288651425
627,627,222.12731740569637
628,628,220.3661024488998
629,629,224.30680027320327
630,630,227.0254433381939
631,631,224.47614399757379
632,632,224.9374244262131
633,633,225.0462875638299
634,634,225.42067560292946
635,635,225.87603639592712
636,636,226.33715179268708
637,637,230.60230639418253
638,638,231.02022572456823
639,639,235.26151195974316
640,640,235.84808241410275
641,641,235.75743723171297
642,642,236.1771860279778
643,643,236.4549087382434
644,644,236.34458419551217
645,645,236.44630443701564
646,646,235.28173661574004
647,647,237.68741371188472
648,648,237.55620838480837
649,649,237.3086421419397
650,650,238.71885714960493
651,651,238.7283955916268
652,652,238.2936975992704
653,653,238.51017975573333
654,654,238.58858343894232
655,655,239.3574874124917
656,656,239.20722836070007
657,657,237.15716865094714
658,658,239.810295760176
659,659,239.50482833230996
660,660,239.98641638306407
661,661,239.69505772115048
662,662,239.4977041629943
663,663,239.69117898039462
664,664,237.0453488783417
665,665,237.32277930453813
666,666,237.5555371350986
667,667,237.4851692748756
668,668,237.24575262122616
669,669,237.10281989746002
670,670,237.58859631313004
671,671,235.29113460881274
672,672,232.4592463282077
673,673,232.83257968022875
674,674,232.60843387522178
675,675,233.1169235586185
676,676,233.20181973590664
677,677,233.0307124804287
678,678,227.82358288816076
679,679,228.54999665936728
680,680,229.1071912532329
681,681,228.86369199640598
682,682,228.6400770330994
683,683,229.2586259131437
684,684,229.1182521103205
685,685,228.48541263528438
686,686,228.74269448176727
687,687,228.5574549508034
688,688,228.14899555077824
689,689,228.223803760656
690,690,228.34808387230763
691,691,228.1100492009787
692,692,228.49008480395497
693,693,228.61347048486442
694,694,228.1857576902993
695,695,228.03888514338112
696,696,230.50085256239424
697,697,230.92254076999095
698,698,231.32710655165442
699,699,231.34652709528226
700,700,230.25399943725418
701,701,229.94329401351283
702,702,230.13402229934846
703,703,230.0098779235894
704,704,230.03835806427597
705,705,230.08658030827183
706,706,230.0958431444973
707,707,230.44750854104842
708,708,230.76601331478443
709,709,230.30156312264447
710,710,229.48535016790876
711,711,230.18344286252358
712,712,230.11145803757373
713,713,230.0733107884102
714,714,230.27530303882276
715,715,230.57399467755974
716,716,230.68200054349327
717,717,230.4751856928345
718,718,230.20414402721167
719,719,230.1295012804795
720,720,230.43101757036698
721,721,230.20600360451547
722,722,230.462121085846
723,723,230.84762285098614
724,724,230.53479736205935
725,725,231.1939653763029
726,726,232.27165582394235
727,727,231.84367827288963
728,728,231.20183743415055
729,729,230.80054922045133
730,730,230.18208286656917
731,731,232.61775053947696
732,732,232.36529174339663
733,733,231.07443760482147
734,734,230.74243675621136
735,735,230.49930094778782
736,736,230.7045359731237
737,737,230.78922487910614
738,738,230.67180996505286
739,739,226.83518012026988
740,740,226.51442548249187
741,741,222.07574935494094
742,742,219.46309817855013
743,743,219.56928504009622
744,744,219.8959047963958
745,745,219.59400223792895
746,746,222.14811296539597
747,747,222.34709165581492
748,748,222.15074961791973
749,749,222.05493443553894
750,750,221.87415386947342
751,751,222.25159044814268
752,752,222.2146219474163
753,753,222.15566602022972
754,754,222.40945916974826
755,755,222.14723310654338
756,756,222.099089076768
757,757,225.09808693867026
758,758,225.1261871043271
759,759,225.31460261731533
760,760,222.8449437370907
761,761,223.04784872845045
762,762,223.5073649258308
763,763,225.91762600718232
764,764,227.93687579672803
765,765,227.9080329566621
766,766,227.52666204477467
767,767,228.23578960331514
768,768,228.09931001790994
769,769,227.92284898798283
770,770,227.4200849004064
771,771,230.20555844660848
772,772,232.786289647845
773,773,232.5853241790025
774,774,232.82941543964296
775,775,232.56910421959375
776,776,232.2609581982254
777,777,232.2804066175135
778,778,237.39142084240325
779,779,237.30094584351593
780,780,236.83542593666868
781,781,236.22327096067977
782,782,236.1829543108626
783,783,235.66370377057672
784,784,236.36328228085983
785,785,236.35605676274045
786,786,236.52166505491317
787,787,231.49951592664812
788,788,231.24996123603268
789,789,231.48053761458814
790,790,231.32005333120546
791,791,231.5138802137466
792,792,229.84110076188037
793,793,226.08598897214094
794,794,223.68283417873235
795,795,222.63910836623432
796,796,222.1508150232303
797,797,221.36128862162658
798,798,217.75364331394798
799,799,217.09041650999677
800,800,217.72996661413816
801,801,215.0639224300976
802,802,211.28302486361278
803,803,211.1166366735042
804,804,211.2897069939952
805,805,210.8458715912601
806,806,210.69457434188752
807,807,210.22643718489817
808,808,209.53305894499937
809,809,209.82309691405845
810,810,206.62272804297024
811,811,203.46169689244195
812,812,203.16886263724894
813,813,199.91957777938703
814,814,199.77383372546342
815,815,198.54182645165255
816,816,198.28418813936867
817,817,198.1904617997644
818,818,198.00409563836547
819,819,198.15709977104157
820,820,197.5875742410947
821,821,197.47472312040998
822,822,196.99029140845374
823,823,192.9300130207945
824,824,190.36572804162873
825,825,189.95452306320803
826,826,190.08472612404395
827,827,190.72579395686233
828,828,193.29080978976944
829,829,193.462214344296
830,830,194.52371112292715
831,831,194.56649033971226
832,832,194.54105395497464
833,833,195.96685428020984
834,834,195.849705068839
835,835,195.75881127544469
836,836,195.8223550194726
837,837,196.06543013231115
838,838,196.23010194348274
839,839,200.14031914186668
840,840,200.07137410725434
841,841,204.4757433996069
842,842,206.86071966206862
843,843,206.22182696375216
844,844,206.13761639586482
845,845,206.87243963686643
846,846,206.58934589410302
847,847,206.0194365671882
848,848,206.02371421686402
849,849,203.57961826663814
850,850,203.6237026963454
851,851,203.2669647128344
852,852,203.53976640801284
853,853,203.08976176357163
854,854,202.82622853356082
855,855,202.8180327764949
856,856,202.77401651730975
857,857,199.28421359329553
858,858,199.25563059123763
859,859,199.4203296456179
860,860,199.23272907496732
861,861,196.96228069122077
862,862,194.73166606128285
863,863,194.4846949189843
864,864,192.24824725248018
865,865,191.9175300262015
866,866,191.98659494963
867,867,189.34468239201686
868,868,187.57375014358226
869,869,187.69911714242318
870,870,185.47941113558036
871,871,185.5134029246942
872,872,180.81964633949207
873,873,180.54350408500596
874,874,180.53213828953386
875,875,178.5507695660177
876,876,178.22258273775094
877,877,178.57803492920803
878,878,174.75905245673653
879,879,174.6792023865957
880,880,174.63644571167958
881,881,175.14751566767595
882,882,175.44380341435365
883,883,176.08736318686712
884,884,176.0536689878801
885,885,175.66478694637874
886,886,175.53627807968994
887,887,180.6083890804457
888,888,181.07060305186442
889,889,178.17890008854573
890,890,173.6087525851177
891,891,173.54206265218133
892,892,174.50504342756994
893,893,177.9641235132859
894,894,176.04530051314256
895,895,177.22396172585778
896,896,173.3229493537555
897,897,170.9895564039329
898,898,174.2995188786807
899,899,171.2111370319338
900,900,171.7840725001184
901,901,171.92359086036515
902,902,173.11306274018642
903,903,171.21869740980938
904,904,168.34834991612396
905,905,165.5789254579499
906,906,163.17446189869807
907,907,160.9790493419527
908,908,159.18515624545722
909,909,158.68837004407433
910,910,159.47432445042793
911,911,159.0943904170721
912,912,159.32100632381972
913,913,158.87591247434395
914,914,156.39999663034038
915,915,158.7476058312878
916,916,153.99337014801102
917,917,151.30476352653125
918,918,149.37747091967188
919,919,147.3847546684636
920,920,147.3228029788204
921,921,147.23928038171923
922,922,146.6376175233144
923,923,150.7198217752792
924,924,153.10047554962208
925,925,153.61555952598982
926,926,153.66925902955828
927,927,153.95871630574732
928,928,154.14682121558332
929,929,153.20785965691877
930,930,150.29887763238332
931,931,149.93766122926516
932,932,149.5937517278662
933,933,149.6964125420926
934,934,149.82780345419917
935,935,150.15309083538813
936,936,150.08997389320027
937,937,147.356279038386
938,938,146.94560068221872
939,939,146.75398442181654
940,940,146.4998325000419
941,941,144.1100423085802
942,942,143.23164263837057
943,943,143.65665685351516
944,944,143.23361091923775
945,945,142.83354126989812
946,946,143.02702175237837
947,947,143.77793251270984
948,948,144.0746996882682
949,949,147.0146434403917
950,950,146.55863255354586
951,951,144.09199074460375
952,952,140.83918112365362
953,953,141.29315144180347
954,954,137.33448163211403
955,955,137.40223610655255
956,956,137.81798767448439
957,957,140.04838649354826
958,958,139.9207607066783
959,959,139.65284693272702
960,960,142.24193539280841
961,961,144.60237469588213
962,962,146.4895720804047
963,963,146.71354936089818
964,964,148.58304989257368
965,965,149.0376215230368
966,966,148.84847516110344
967,967,148.39851130752248
968,968,150.41194154192272
969,969,150.09121226332434
970,970,152.15491830121496
971,971,152.11906311763676
972,972,154.80686984829933
973,973,155.18654042812824
974,974,154.96382516712742
975,975,156.69916086651855
976,976,156.44263158477247
977,977,156.05172986988921
978,978,160.56828314100085
979,979,160.73374870120207
980,980,160.71116223084664
981,981,160.68861956384546
982,982,160.36396074240895
983,983,160.1096984906881
984,984,156.97780760907182
985,985,157.93719319714862
986,986,157.94844326661504
987,987,157.46803758964907
988,988,157.60054592832066
989,989,160.78260536801815
990,990,164.90983260169568
991,991,164.83645438739296
992,992,165.14224039520036
993,993,165.12558392820927
994,994,169.9157856533995
995,995,169.6981245840505
996,996,174.06991251726902
997,997,177.29118698827006
998,998,177.32478794663376
999,999,180.8998379905834
